CONFIG0001	false
THELAB0024	Verdammt, der ist kaputt ... Sieht so aus, als wäre die Steuerung zerstört.

; Look at laser cutter
THELAB0025	Ich könnte den vielleicht erreichen.
; On taking the cutter
THELAB0026	Verflucht. Ich habe den Laserbrenner, aber er funktioniert nicht.

; Look at scalpel
THELAB0027	Ein medizinisches Skalpell.

; Look at video player
THELAB0028	Sieht aus wie ein antikes Gerät, mit dem man Videokassetten abspielen kann.
; Look at video player while strapped down
THELAB0029	Er ist automatisch losgelaufen, als ich die Kassette eingelegt habe.
; Use video player
THELAB0030	Ohne eine Videokassette ist das Gerät nutzlos.
; Use video player while strapped down
THELAB0031	Wenn ich das Video doch nur stoppen könnte. Vielleicht würde das helfen.
; After inserting tape into player
THELAB0032	Was zum ...?  Das bin ich!
; After throwing cutter at video player
THELAB0033	Mir ist schlecht ... was zur Hölle war das?
; Use video discs with video player
THELAB0050	Dieses Gerät kann keine Video-CDs abspielen. Es ist für alte Videokassetten gedacht.

; Look at projector system
THELAB0034	Das sieht aus wie ein alter Projektor. Ich glaube, er ist an den alten Videorecorder angeschlossen.
; Look at projector system while strapped down
THELAB0035	Damit wird das Folter-Video im Video-Recorder auf die Leinwand projiziert.
; Use projector system
THELAB0036	Einzeln kann ich den nicht sinnvoll verwenden. Ich sollte mir den Videorecorder mal ansehen.

; Look at sample dish
THELAB0037	Irgendeine Gewebeproble in einem luftdicht verschlossenen Objektträger. Sie ist beschriftet.

; Look at scope
THELAB0038	Ich kenne das Gerät, das ist ein Proto-Analysegerät aus der Zentradi-Serie 7777
; Use scope
THELAB0039	Ich brauche irgendeinen Objektträger.
; Use sample with scope
THELAB0040	Ich erkenne das. Das Gewebe wurde absichtlich entfernt, um eine saubere DNA-Probe zu nehmen.

; Look at speaker
THELAB0041	Das ist ein Lautsprecher. Ich erinnere mich, als Kind hatte ich auch welche.
; Use speaker
THELAB0042	Damit kann ich nicht allzuviel tun.

; Look at tools
THELAB0043	Eine Auswahl rostiger und blutbeschmierter Laborinstrumente.
; Take tools
THELAB0044	Sie sind an der Arbeitsplatte festgerostet. Ich bezweifele aber eh, daß sie mir in dem Zustand nützlich wären.

; Try to walk through welded door
THELAB0045	Sie ist zugeschweißt, darum komme ich nicht durch.
; Try to open welded door
THELAB0046	Ich brauche wirklich viel Kraft, um durch diese Tür zu kommen.
; Look at welded door
THELAB0047	Die Türdichtungen wurden zugeschweißt. Ich frage mich, warum.
; Use axe on welded door
THELAB0048	Das bringt nichts. Das ist eine sehr dicke Tür, die zusätzlich noch zugeschweißt wurde.
; Place explosives in front of welded door
THELAB0049	So. Jetzt muß ich nur noch einen Weg finden, den Sprengstoff zu zünden.

; //////////////////////////////////////////////////////////////////////
; 08 - MEDBAY
; //////////////////////////////////////////////////////////////////////

; Room regions
MEDBAY0001	Bett
MEDBAY0002	Dreckige Wand
MEDBAY0003	Ja
MEDBAY0004	Nein
MEDBAY0005	Kontrollfeld
MEDBAY0006	Duscheinheit
MEDBAY0007	Video-CD
MEDBAY0008	Körper
MEDBAY0009	Lasertisch
MEDBAY0010	Offene Kiste
MEDBAY0011	Batteriefach
MEDBAY0012	Tür
MEDBAY0013	Aktenschrank

; Eye box regions
MEDBAY0014	Zurück
MEDBAY0015	Augen

; Filing cabinet regions
MEDBAY0016	Zurück
MEDBAY0017	Schubladen
MEDBAY0018	Kaputte Schublade
MEDBAY0019	Umschlag

; Look at bed with full body
MEDBAY0020	Nunja, es ist alles da ... Aber ich weiß noch nichtmal, warum ich das überhaupt gemacht habe. Er sieht so kalt aus.
; Look at bed with partial body
MEDBAY0021	Die Körperteile scheinen perfekt in die Vertiefungen zu passen.
; Look at bed with full body under blanket
MEDBAY0022	Mit der Decke sieht er nicht so beunruhigend aus. Vielleicht sollte ich ihn einfach in Frieden ruhen lassen.
; Look at bed with nothing on it
MEDBAY0023	Ein Krankenbett mit körperförmigen Brandspuren.
; Use bed with body parts on it
MEDBAY0024	Das Bett ist schon belegt.
; Use bed with nothing on it
MEDBAY0025	Ich glaube nicht, daß ich jetzt schlafen könnte, selbst wenn ich wollte.
; Use eyes on bed without head
MEDBAY0026	Ich weiß nicht, wo ich die Augen hineintun soll. Was tue ich hier eigentlich gerade?
; Complete body message #1
MEDBAY0027	Jetzt ist er vollständig.
; Complete body message #2
MEDBAY0028	 ... ... ... ... Nichts passiert ...
; Complete body message #3
MEDBAY0029	Ich weiß nicht, was ich erwartet habe. Was tut dieser Ort mit mir? Warum habe ich diese Körperteile zusammengesammelt?
; Use blanket on complete body
MEDBAY0030	Das sieht schon viel respektvoller aus.
; Use blanket on incomplete body
MEDBAY0031	Er ist noch nicht komplett.
; Use Dr Salt on complete body
MEDBAY0032	Nichtmal Dr.Salt kann ihm jetzt helfen.
; Use Dr Salt on incomplete body
MEDBAY0033	Ich möchte das Laken nicht naßmachen.

; Look at body in quarantine chamber
MEDBAY0034	Die Körperteile ... wie sind sie da reingekommen?
; After players has become trapped in quarantine chamber
MEDBAY0035	Ich bin gefangen!
; Try to touch body in chamber
MEDBAY0036	Ich komme da nicht rein.

; Look at broken drawer
MEDBAY0037	Der Verschluß dieser Schublade ist kaputt.

; Look at locked drawer
MEDBAY0038	Die meisten dieser Schubladen sind verschlossen. Es scheint keinen offensichtlichen Weg zu geben, sie zu öffnen.
; Try to open locked drawer
MEDBAY0039	Sie sind überraschend stabil. Ich glaube nicht, daß ich die aufbrechen kann.
; Try to axe locked drawer
MEDBAY0040	Damit kriege ich die nicht auf. Ich beschädige nur die Oberfläche.
; Try to scalpel locked drawer
MEDBAY0041	Ich glaube, dafür ist das Schloß zu sicher.

; Look at brown envelope
MEDBAY0042	Ein brauner Umschlag mit irgendwas drin.

; Look at power compartment
MEDBAY0043	Unter der Lasereinheit ist ein Fach.
; Put batteries in compartment
MEDBAY0044	Das hat geklappt. Der Laser sollte jetzt Strom haben.

; Look at video disc
MEDBAY0045	Eine Bespielte Video-CD
; Try to take video disc in quarantine chamber
MEDBAY0046	Ich komme nicht in die Quarantänestation.

; Look at eyes in box
MEDBAY0047	Das ist ekelhaft! Welcher kranke Bastard schließt ein Paar Augen in einer Kiste ein?

; Look at filing cabinet
MEDBAY0048	Das ist ein Aktenschrank.

; Look at medical laser
MEDBAY0049	Das ist ein medizinischer Laser.
; Try to fire laser into fridge
MEDBAY0050	Ich möchte nicht riskieren, damit den Kühlschrank zu treffen. Ich weiß nicht, was dann passiert, aber ich glaube nicht, daß es positiv wäre.
; Try to fire unpowered laser
MEDBAY0051	Er funktioniert nicht. Vielleicht stimmt etwas mit der Stromversorgung nicht.
; Box unsealed using laser
MEDBAY0052	Der Laser hat den Verschluß der Kiste zerschnitten. Ich hoffe, ich habe den Inhalt nicht beschädigt. Was auch immer da drin sein mag ...

; Look at quarantine panel
MEDBAY0053	Ein srachgesteuertes Kontrollfeld für die Quarantänestation.
; Use quarantine panel
MEDBAY0054	Es wird nur auf die Stimme eines authorisierten Arztes reagieren. Da werde ich keine Chance haben.
; Use head with quarantine panel
MEDBAY0055	Anscheinend wird der nicht reden. Ich glaube, er hat seine letzten Worte schon gesprochen.

; Look at shower unit
MEDBAY0056	Eine normale Duscheinheit.
; Try to use shower unit
MEDBAY0057	Ich glaube, sie ist kaputt. Ich kann sie nicht öffnen.
; Try to use shower unit from outside quarantie chamber
MEDBAY0058	Ich komme nicht in die Quarantänestation.

; Look at opened metal box
MEDBAY0059	Der Laser hat die Box nett aufgeschnitten.

; Look at wall in quarantine chamber
MEDBAY0060	Da ist etwas in den Dreck geätzt.
; SUBTITLE - Wall message 1
MEDBAY0061	Möchtest Du hier raus?
; SUBTITLE - Wall message 2
MEDBAY0062	Und eine Verbreitung der Seuche riskieren?
; SUBTITLE - Wall message 3
MEDBAY0063	Geh' nun. ... Stell ich den Konsequenzen!

; //////////////////////////////////////////////////////////////////////
; 09 - BEACH
; //////////////////////////////////////////////////////////////////////

; Room regions
ABEACH0001	Tür
ABEACH0002	Meer
ABEACH0003	Wald

; Look at forest
ABEACH0004	Das sind tatsächlich echte Bäume ... aber wie ist das möglich?
; Use forest
ABEACH0005	Ich kann mir keinen Pfad durch den Wald bahnen. Die Bäume stehen zu dicht.

; Look at sea
ABEACH0006	Das sieht wirklich aus wie das Meer. Was passiert hier?
; Use sea #1
ABEACH0007	Das fühlt sich an wie echtes Wasser ... Ich verstehe nicht, wie irgendetwas von alldem hier möglich sein soll. Ich war auf einer Raumstation ...
; Use sea #2
ABEACH0008	Vielleicht könnte ich von hier wegschwimmen, aber ich sehe nichts, wohin ich schwimmen könnte.


; //////////////////////////////////////////////////////////////////////
; 10 - FAN ROOM
; //////////////////////////////////////////////////////////////////////

; Room regions
THEFAN0001	Lüftung
THEFAN0002	Mahlwerk
THEFAN0003	Tür

; Look at grinder
THEFAN0004	Das ist ein verbogenes Mahlwerk.
; Touch grinder
THEFAN0005	Es ist mit Unrat bedeckt, was ist das für ein Zeug?

; Walk into sealed vent
THEFAN0006	Sie ist verschlossen, ich komme da nicht durch.
; Look at vent
THEFAN0007	Ich frage mich, ob ich durch diese Lüftung am Aufzugsschacht vorbei nach unten komme.
; Use vent
THEFAN0008	Ich kriege das Gitter nicht ab.
; Use axe on vent
THEFAN0009	Selbst die Axt kann keine Beule in das Gitter schlagen.


; //////////////////////////////////////////////////////////////////////
; 11 - THE WHITE CHAMBER
; //////////////////////////////////////////////////////////////////////

; Room regions
WCHAMB0001	Schacht
WCHAMB0002	Artefakt
WCHAMB0003	Körper
WCHAMB0004	Gerät

; Look at artefact
WCHAMB0005	Das ist es also. Das ist das Artefakt. Ich weiß nicht, was ich sagen soll.
; Touch artefact
WCHAMB0006	Es ist warm und vibriert. Es fühlt sich nicht an wie eine Maschine.

; Look at body before endgame
WCHAMB0007	Sein Gesicht ... armer Kerl. Was ist bloß mit ihm passiert?
; Look at body after endgame
WCHAMB0008	Ich war das ... ich habe ihn umgebracht! Ich habe hier drin ein Gift freigesetzt und ihm beim Sterben zugesehen. Er war der einzige, der noch übrig war, und zu der Zeit schien es so einfach, sein Leben zu beenden.



; End game text #01
WCHAMB0009	Hallo Sarah. Hier sind wir also wieder. Wie es aussieht, hat das Blatt sich gewendet. Wenn ich mich recht erinnere, war ich beim letzten Mal hier eingeschlossen und habe auf Gnade gehofft.
; End game text #02
WCHAMB0010	Ich habe ich um Dich gekümmert, und ich bin auf dein falsches Lächeln hereingefallen. Und als Dank wurde ich zu der Sauerei da auf dem Boden.
; End game text #03
WCHAMB0011	Beginnst Du langsam zu verstehen, Sarah? Was Du mir angetan hast ... was Du uns allen angetan hast? Wir haben den Preis bezahlt, weil Du besessen warst von seiner Kraft.
; End game text #04
WCHAMB0012	Hmph, Immerhin kann ich sagen, daß ich geschafft habe, wobei Du versagt hast. Das Artefakt reagiert auf mich. Mein Blut, mein Hass und meine Begierde nach Vergeltung haben es aktiviert.
; End game text #05
WCHAMB0013	Ich habe die Kraft entfesselt, für die Du getötet hast, und jetzt sind wie beide in diesem Teufelskreis gefangen. Ein ewiger Alptraum, der unendlich weitergeht bis Du erlöst wirst.
; End game text #06
WCHAMB0014	Ich trete hier als Dein Richter auf. Und ich habe in Deine Seele geblickt. Dir wird eine weitere Chance gegeben, Deine Sünden vielleicht zu tilgen.
; End game text #07
WCHAMB0015	Angesichts dieser leeren Tafel, hast Du Mitgefühl oder Bedauern gezeigt? Oder hast du wieder einmal nur selbstsüchtig gehandelt, zugunsten Deiner eigenen Ziele?
; End game text #08
WCHAMB0016	Wärend wir zu einem Urteil kommen, solltest Du Dich erinnern ... daran erinnern, was Du mir angetan hast.
; End game text #09
WCHAMB0017	Es ist vollbracht. Wir haben einen vollen Kreis geschlossen zurück zu dem Punkt, wo all dies beginnt und endet. Wir haben unsere Entscheidung getroffen. Was noch fehlt, ist, daß Du gehst ... Jetzt!
; End game text #10
WCHAMB0018	Die Rettungskapsel im Lagerraum wurde geöffnet und darin wirst Du unser Urteil finden. Auf dem Weg sollst Du Dich an alles erinnern. An das, was Du getan hast, um dies hier zu verdienen.
; End game text #11
WCHAMB0019	Lebwohl, Sarah ... Ich hoffe, wir werden uns nicht noch einmal wiedersehen müssen.
; Optional end game text. Only shown if player has good ending
WCHAMB0025	Ich habe den Orbit der Station verändert. Sie wird innerhalb einer Stunde auf den Planeten stürzen.



; Touch body after endgame
WCHAMB0020	Er ist immer noch warm. Ich kann ihn nicht bewegen. Es ist, als hätte sich sein Blut mit dem Artefakt vereinigt. Ich kann immer noch nicht glauben, daß ich all das getan habe.

; Look at equipment #1
WCHAMB0021	Dieses Gerät scheint jedlichen Ausstoß von dem Artefakt zu überwachen.
; Use equipment #1
WCHAMB0022	Anscheinend zeigt das Artefakt sehr ungewöhnliche Strahlenwerte.

; Look at equipment #2
WCHAMB0023	Das Gerät führt eine Tiefenstrukturanalyse durch.
; Use equipment #2
WCHAMB0024	Es scheint keine handfesten Ergebnisse zu liefern.

; //////////////////////////////////////////////////////////////////////
; 12 - NAVIGATION ROOM (BLEEDING)
; //////////////////////////////////////////////////////////////////////

; Room regions
NBLEED0001	Kreatur

; //////////////////////////////////////////////////////////////////////
; 13 - MED BAY (DROID)
; //////////////////////////////////////////////////////////////////////

; Action descriptions (chamber refers to quarantine chamber)
MEDBDR0001	Tür öffen
MEDBDR0002	Station öffnen
MEDBDR0003	Feuer löschen  

; Droid responses
MEDBDR0004	Nicht authorisiert für Öffnung des Quarantänesiegels.
MEDBDR0005	Kein Feuerschutz-Zubehör installiert.  
MEDBDR0006	Tür aufgrund einer Feuergefahr verschlossen.

; //////////////////////////////////////////////////////////////////////
; 14 - LIVING ROOM (GRATED)
; //////////////////////////////////////////////////////////////////////

; Room regions
LGRATE0001	Tür

; //////////////////////////////////////////////////////////////////////
; 15 - CORRIDOR
; //////////////////////////////////////////////////////////////////////

; Room regions
CORRID0001	Gang
CORRID0002	Auge
CORRID0003	Körper

; Look at body
CORRID0004	Ein enthaupteter Körper ... und er ist ... auf dem Kopf gekreuzigt ... Bin ich in der Hölle?
; Try to touch body
CORRID0005	Ich bin heilfroh, daß da ein Zaun ist, der ihn von mir fernhält.

; Look at eye
CORRID0006	Oh Scheiße ... Werde ich hier drin sterben?
; Try to touch eye
CORRID0007	Halt das blutige Ding fern von mir!

; //////////////////////////////////////////////////////////////////////
; 16 - COMPUTER ROOM (BLOODY)
; //////////////////////////////////////////////////////////////////////

; Room regions
CBLOOD0001	Rohr
CBLOOD0002	Arm
CBLOOD0003	Tür
CBLOOD0004	Steuerung
CBLOOD0005	Körper

; Look at severed arm
CBLOOD0006	Ein abgetrennter Arm.
; Take severed arm
CBLOOD0007	Noch ein Arm. Das ist absolut krank ...

; Look at body chamber
CBLOOD0008	Darin ist jemand gefangen. Wenn ich die Kammer nur irgendwie aufbrechen könnte.
; Break body chamber
CBLOOD0009	Das ist zu robust, um da mit bloßen Händen durchzukommen.
; Axe body chamber
CBLOOD0010	Verdammt, die Kammer muß verstärkt sein.

; Look at cleaning control
CBLOOD0011	Das ist die Steuerung für die Notfallreinigung des Tankes.
; After control used #1
CBLOOD0012	Oh nein! Ich habe versucht, ihm zu helfen ... das tut mir leid ...
; After control used #2
CBLOOD0013	Es klingt, als ob da was in den Rohren feststecken würde. Was habe ich getan?
; Use control after body flushed
CBLOOD0014	Der Tank ist jetzt leer, ihn nochmal zu reinigen macht keinen Sinn.

; Look at pipe with arm in it
CBLOOD0015	in dem Rohr ist ein Arm eingeklemmt, ich glaube, der ist von dem Kerl. Warum beschleicht mich das Gefühl, daß das kein Zufall ist?
; Try to break pipe with hands
CBLOOD0016	Ich kann das Rohr nicht mit der Hand abreißen.

; //////////////////////////////////////////////////////////////////////
; 17 - NAVIGATION ROOM (CHASM)
; //////////////////////////////////////////////////////////////////////

; Room regions
NCHASM0001	Abgrund
NCHASM0002	Tür

; Look at chasm
NCHASM0003	Ich kann keinen Boden erkennen! Wo zur Hölle bin ich?
; Use chasm
NCHASM0004	Ich riskiere nicht, da runterzuklettern.

; //////////////////////////////////////////////////////////////////////
; 18 - FREEZER
; //////////////////////////////////////////////////////////////////////

; Room regions
FREEZE0001	Hängendes Fleisch
FREEZE0002	Tiefkühltruhe
FREEZE0003	Tür
FREEZE0004	Bein
FREEZE0005	Eingeklemmter Körper
FREEZE0006	Frierender Mann

; Look at closed freezer
FREEZE0007	Das ist eine große Tiefkühltruhe
; On opening freezer and finding shivering body inside
FREEZE0008	Was zum Teufel?

; Look at leg
FREEZE0009	Da ragt ein Bein raus unter dem ... was auch immer das sein mag.
; Try to take leg
FREEZE0010	Wenn ich das Bein haben will, werde ich es wohl abschneiden müssen.
; Try to scalpel leg
FREEZE0011	Nein, damit komme ich nicht durch den Knochen.
; Axe leg off
FREEZE0012	Toll ... Jetzt habe ich ein abgetrenntes Bein.

; Look at freezing man
FREEZE0013	Es sieht aus, als würde er frieren. Vielleicht kann ich ihn irgendwie aufwärmen?
; Use blanket on man
FREEZE0014	Ein netter Gedanke, aber ich glaube, das hilft ihm jetzt nicht mehr.
; Use dr salt on man
FREEZE0015	Er sieht schon kalt genug aus. Ich glaube nicht, daß ein gekühltes Getränk das ist, was er braucht.
; After player has touchd man and room has transformed
FREEZE0016	Oh mein Gott, dafür fehlen mir die Worte.

; Look at meat
FREEZE0017	Frisches, hängendes Fleisch. Es sieht annähernd essbar aus.
; Try to take meat
FREEZE0018	Das Teil ist wahrscheinlich schwerer als ich. Rohes Fleisch ist aber eh nichts für mich.
; Axe down meat
FREEZE0019	Damit würde ich wahrscheinlich eine dicke Schwarte abkriegen, aber ich möchte sowas wirklich nicht mit mir herumtragen.
; Use scalpel on meat
FREEZE0020	Vielleicht kann ich mir mit dem Skalpell ein schönes Stück herausschneiden, wenn ich später Hunger bekomme. Jetzt allerdings möchte ich wirklich nichts davon.

; Look at trapped corpse
FREEZE0021	Es sieht so aus, als wäre der Körper unter dieser Schicht gefangen. Ich hoffe für ihn, daß er schon tot ist.
; Touch trapped corpse
FREEZE0022	Woraus besteht das? Es fühlt sich jedenfalls nicht künstlich an.
; Axe trapped corpse
FREEZE0023	Selbst die Axt kann das nicht aufreißen. Das macht keinen Sinn.
; Use scalpel on meat
FREEZE0024	Das Skalpell ritzt es noch nichtmal an. Ich kann nicht sagen, woraus diese Schicht besteht.


; //////////////////////////////////////////////////////////////////////
; 19-26 - NORMAL STATION ROOMS
; //////////////////////////////////////////////////////////////////////

; Room regions
NORMAL0001	Tür 
NORMAL0002	Ventilator
NORMAL0018	Durchgang
NORMAL0005	Dusche
NORMAL0009	Steuerung
NORMAL0013	Bodenplatte
NORMAL0017	Rettungskapsel

; Look at fan
NORMAL0003	Ich habe Dr. Goodwin in den Ventilator gestoßen. Ich hätte es gar nicht tun müssen, aber ich war mir sicher, daß er hinter mir her war. Er hörte nicht auf, den Kommandanten zu bitten, das Artefakt rauszuschmeißen.
; Touch fan
NORMAL0004	Nach dem, was der mit Goodwin gemacht hat, wäre ich schön blöd, da näher ranzugehen.

; Look at shower #1
NORMAL0006	Kommandant Trend hat mir keine Wahl gelassen. Zu dem Zeitpunkt waren nur ich, er und Arthur übrig. Er hat dem Spion nicht vertraut, aber er hat auch nicht geglaubt, daß er der Mörder ist.
; Look at shower #2
NORMAL0007	Ich glaube, der Kommandant konnte es in meinen Augen sehen ... darum habe ich ihm seine genommen.
; Touch shower
NORMAL0008	Ich möchte da nicht reingucken.

; Look at console #1
NORMAL0010	Dick Lee war der Erste. Er war mein Wissenschaftlicher Mitarbeiter. Er dachte, das Artefakt sei zu gefährlich, um alleine daran zu arbeiten.
; Look at console #2
NORMAL0011	Wir haben uns gestritten, weil er ein Unterstützungsteam haben wollte. Ich sagte ihm, wir könnten das alleine. Ich wollte nicht ... ich wusste, er würde es nie verstehen.
; Touch shower
NORMAL0012	Ich könnte es nicht ertragen, mit seinen Überresten konfrontiert zu werden, falls sie da noch drin sind.

; Look at floor panel #1
NORMAL0014	Wyles hat die Video-Logs geprüft, als ich zu ihm kam. Sein Benehmen zeigte deutlich, daß er Dicks Leiche in der Navigationskonsole gefunden hatte.
; Look at floor panel #2
NORMAL0015	Das mit Dick war ein Unfall, darum vermute ich, das die Sache hier außer Kontrolle geraten ist. Ich war besessen. Ich konnte nur an das verdammte Artefakt denken.
; Touch floor panel
NORMAL0016	Jetzt ist es zu spät. Ich möchte nicht sehen, was darunter ist.

; //////////////////////////////////////////////////////////////////////
; 27 - STORE ROOM (MES)
; //////////////////////////////////////////////////////////////////////

; Room regions
STOMES0001	Links
STOMES0002	Sprengstoff
STOMES0003	Tür
STOMES0004	MES-Konsole
STOMES0005	Verlassen

; Look at console
STOMES0006	DIE MES-KONSOLE MIT DER ICH SPIELE
; Use console
STOMES0007	ICH KANN DIE KNÖPFE NICHT ERKENNEN, UM SIE AUSZUSCHALTEN

; Look at explosive
STOMES0008	DAS IST SPRENGSTOFF ... DER SIEHT GEFÄHRLICH AUS
; Use explosive
STOMES0009	ICH KANN NICHT MEHR TRAGEN.

; Walk to freezer door
STOMES0010	DIE TÜR IST VERSCHLOSSEN
; Look at freezer door
STOMES0011	ES IST DIE TÜR ZUM KÜHLRAUM
; Use freezer door
STOMES0012	ICH KANN DEN KNAUF NICHT SEHEN ES IST ZU PIXELIG

; Try to leave room
STOMES0013	DER BILDSCHIRM SCROLLT NICHT. SIEHT SO AUS ALS WAERE ICH HIER GEFANGEN! ICH MUSS EINEN ANDEREN WEG FINDEN DIESES SPIEL ZU VERLASSEN

; On entering MES room
STOMES0014	WAS ZUM GEIER GEHT HIER VOR? ERZÄHL' MIR NICHT, DAß ICH IN DEM SPIEL BIN!

; //////////////////////////////////////////////////////////////////////
; 28 - DEBUG ROOM
; //////////////////////////////////////////////////////////////////////

; Room Regions
DEBUGR0001	Korridor-Sequenz
DEBUGR0002	Blutiger Navigationsraum
DEBUGR0003	Spiel starten
DEBUGR0004	Roboter-Steuerung
DEBUGR0005	Weiße Kammer
DEBUGR0006	Kopf in der Dusche
DEBUGR0007	Kühlraum
DEBUGR0008	Medizinische Abteilung
DEBUGR0009	Normale Station
DEBUGR0010	Fehlersuch-Raum

; Warning message
DEBUGR0011	Wilkommen im Fehlersuch-Raum von White Chamber. Dieser Raum wurde im Spiel gelassen, um Ihnen eine Einsicht in den Entwicklungsprozess zu geben.
DEBUGR0012	Es wird nicht empfohlen, das Spiel von hier aus zu spielen. Dieser Raum ist nur dazu gedacht, bestimmte Teile des Spieles zu testen.

; //////////////////////////////////////////////////////////////////////
; 29 - COMEDY ENDING
; //////////////////////////////////////////////////////////////////////

; Okay this is going to be quite difficult to translate into any language.
; The comedy ending is meant to be surrealist humor and makes very little sense in English
; so I don't know how well it will go into other languages. So just do your best really.

; All the character shout surprise to reveal the whole game has been a surprise birthday prank
COMEDY0001	ÜBERRASCHUNG!!!               
; The doctor is explaining it's been a well planned party
COMEDY0002	Wir haben diese Überraschungsparty streng geheim im tiefsten Keller vorbereitet.
; The captain is meant to sound very dumb
COMEDY0003	Ha Ha ... Ich mag die Kerzen. Ha Ha Ha ... 
; This character is very excitable. Meant to be a bit like Beavis and Butthead
COMEDY0004	Ja! Hmm! Hmm! Kerzen!
; The doctor is talking about cutting the cake in very overly scientific manner.
COMEDY0005	Ich habe einen Winkelmesser mit, um den Kuchen wissenschaftlich korrekt aufzuteilen.
; This character talks in bad japanese accent and only talks about Japan
COMEDY0006	Genau, wie japanische Ninja.
; Again the captain makes a dumb comment
COMEDY0007	Ich war noch nie in Japan Ha Ha Ha ...
; The excitable guy is eager for food
COMEDY0008	Mach schon! Schneid den Kuchen! Schneid den Kuchen, Du lahmer alter Sack!
; Another pointless japanese comment
COMEDY0009	Genau, wie japanische Samurai.
; The dumb captain is sad about no one attending his birthday.
COMEDY0010	Schade eigentlich, daß niemand auf meinem Geburtstag war ... ooh .. oha ... Ha Ha Ha ...
; The doctor says this is because his birthday couldn't be divided by the mathematical value pi
COMEDY0011	Selbst Schuld. Das passiert, wenn man keinen richtigen Geburtstag hat, weil man aus einer Retorte kommt!
; This all ends on a bad pun. The excitable guy assumes the doctor was talking about pie (instead of pi)
; and comments it's a cake not a pie.
COMEDY0012	Das ist keine verdammte Torte! Das ist ein Kuchen, Du Blödmann!

; //////////////////////////////////////////////////////////////////////
; 30 - ENDING SCREEN
; //////////////////////////////////////////////////////////////////////

; Interface message
ENDING0001	Vielen Dank fürs Spielen ...
ENDING0002	Beenden
ENDING0003	Spiel verlassen ...

; Ending descriptions
ENDING0004	Du hast das 'Verdammnis'-Ende erlitten.
ENDING0005	Du hast das 'Erlösung'-Ende erreicht.
ENDING0006	Du hast das 'Folter'-Ende ertragen.
ENDING0007	Du wurdest verwirrt vom 'Comedy'-Ende.
ENDING0008	Du wartest auf das 'Verfall'-Ende.
ENDING0009	Du hast das 'Gift'-Ende eingeatmet.
ENDING0010	Du bist ins 'Weltraum'-Ende gesaugt worden.
ENDING0011	Du konntest dem 'Elektroschock'-Ende nicht entgehen.

; Easter eggs
ENDING0012	Versuche, die Robotersteuerng zu verwenden, bevor Du die Notiz hast.
ENDING0013	versuche dreimal, die MES-Konsole zu benutzen.
ENDING0014	Probiere mal die Taste HOME, um in den Fehlersuch-Raum der Entwickler zu kommen.
ENDING0015	Probiere mal, mit F10 und F11 alternative Rechtklick-Menüs anzuzeigen.



; //////////////////////////////////////////////////////////////////////
; A1 - ITEM TEXT
; //////////////////////////////////////////////////////////////////////

; Looks at axe
ANITEM0001	Das ist eine scharfe Axt. Sie könnte noch nützlich werden.
; Touch axe
ANITEM0002	Ich sollte vorsichtig sein. Ich könnte mich damit verletzen!

; Look at batteries
ANITEM0003	Industrie-Batterien. Sehr stark. Ich sollte das wissen.
; Touch batteries
ANITEM0004	Ich habe von deren Ladung schon genug abbekommen.

; Look at blanket
ANITEM0005	Eine bequeme Decke.
; Touch blanket
ANITEM0006	Fühlt sich weich und flauschig an. Aber sie riecht ...

; Look at brown envelope
ANITEM0007	Da ist irgendetwas drin.
; Open brown envelope
ANITEM0008	Da war eine Videokassette drin.

; Look at video disc
ANITEM0009	Das ist eine normale bespielte Video-CD. Hmm, eine Microcosm-CD. Das ist Qualität!
; Use video disc
ANITEM0010	Ich brauche einen geeigneten Bildschirm, um mir anzusehen, was drauf ist.

; Look at Dr Salt
ANITEM0011	Eine rötliche Dose mit einem kohlensäurehaltigen Getränk.
; Use Dr Salt
ANITEM0012	Ich würde es ja trinken, aber die Dose riecht ein wenig nach totem Fisch.

; Look at explosive
ANITEM0013	Da steht, daß es hochexplosiv ist.
; Use explosive
ANITEM0014	Spiel mit dem Feuer, und Du verbrennst Dich. Spiel hiermit ... Ich will darüber gar nicht erst nachdenken.

; Look at extinguisher
ANITEM0015	Ein klobiger Feuerlöscher.
; Use extinguisher
ANITEM0016	Hier ist kein Feuer, deshalb möchte ich den nicht verpulvern.

; Look at eyes
ANITEM0017	Ein Paar herausgetrennter Augen. Der Blick ist sehr intensiv.
; Use eyes
ANITEM0018	Mir reicht die Phobie, meine eigenen Augen anzufassen.

; Look at head
ANITEM0019	Ein abgetrennter Kopf. Die Augen wurden herausgerissen.
; Use head
ANITEM0020	Er fühlt sich noch ein wenig klamm an von der Dusche, und der Geruch ...

; Look at ID card
ANITEM0021	Eine ID-Karte für den Einsatz in Sicherheits-Scannern.
; Use ID card
ANITEM0022	Ohne einen DNA-Sequenzer kann ich damit nicht viel anfangen.

; Look at laser cutter
ANITEM0023	Ein Laserbrenner in Pistolenform, aber ich glaube, er funktioniert nicht.
; Use laser cutter
ANITEM0024	Das Batteriefach ist leer.

; Look at left arm
